review_id,rating,date,review_text,date_parsed,year
Ci9DQUlRQUNvZENodHljRjlvT205MVoySk1jbE5uVEVaeVdYWkhObnBmTUhvdFRtYxAB,2,3 months ago,"Kursi dan beberapa permainan perlu diberikan perawatan
Perawatan fasilitas sangat kurang terjaga
Tempat sampah banyak yg tidak ada tutupnya jadi membuat bau tidak sedap",2025-10-18 08:03:10.584460,2025
Ci9DQUlRQUNvZENodHljRjlvT2tSSU9ESXphVlJWWm5jMmJHcElXVzE1Y1MxSVdIYxAB,5,2 weeks ago,Tempatnya sangat ramai ketika di hari libur sekolah dan juga banyak kuliner berserta wahana mainan anak,2026-01-04 08:03:10.585486,2026
Ci9DQUlRQUNvZENodHljRjlvT21zNVYyNHRUREEyVnpGZmFscFpObTFUY21ZemRHYxAB,5,3 weeks ago,"Alun-alun Lumajang dengan fasilitas yang relatif lengkap. Spot olah raga, play ground, food court hampir di sekeliling jalan di alun-alun. Pada saat CFD mungkin perlu pembenahan dan penataan pedagang, namun untuk saat ini relatif rapi. Hanya lalu lalang kendaraan yang harus dikontrol dengan ketat.",2025-12-28 08:03:10.585486,2025
Ci9DQUlRQUNvZENodHljRjlvT21SRGQzRXhaa1UwVlU1UlRFUk1lRGxuZFRJNWNVRRAB,5,a week ago,"Alun alun lumajang,dengan semua fasilitas yang memadai,tempat yang nyaman,untuk bersama keluarga, taman yang indah, dengan perubahan yang sekrang dengan tempat duduk di pinggir jalan yang bagus dan tertata rapih",2026-01-11 08:03:10.585486,2026
Ci9DQUlRQUNvZENodHljRjlvT2xoclJrRnJOMHRuWVRsVWVYWlNUM0ZFY0U0Mk1XYxAB,4,5 months ago,"First time nyobain ke Alun alun lumajang Gara"" deket banget ternyata sama tempat penginepan ( B syariah) .
Sabtu check in, minggu paginya bisa banget jalan"" santai lanjut buat cari …",2025-08-18 08:03:10.585486,2025
Ci9DQUlRQUNvZENodHljRjlvT2t3MVRXcHBVakUwU1Vac1gwZEphVGhtTjJVd2JtYxAB,5,6 months ago,"Taman bermain di lumajang yang asri banget. Ada air mancur yang di hidupin beberapa kali kalo malem. Ada delman juga yang tiketnya murah banget, 5000 sekali naik keliling alun2. …",2025-07-18 08:03:10.585486,2025
Ci9DQUlRQUNvZENodHljRjlvT2xSdExVaEhRMlprUzJkVFRHdDRUMWR2U1VaVlFuYxAB,5,5 months ago,"Tempatnya luas pas di pusat kota dan pemerintahan akses gampang kalau mau kemana-mana. Terdapat spot hunting makanan di sisi dekat masjid. Namun, belum banyak area atraktif yg ramah anak sebagian besar berupa lapangan jadi saya sarankan anda membawa tikar kalau mau kesana.",2025-08-18 08:03:10.585486,2025
Ci9DQUlRQUNvZENodHljRjlvT2s1TFNFUmFTWGN5VWxRMmNrTjFRWHBuY1c1cVpIYxAB,4,5 months ago,"Ada playground, beberapa alat gym, rumah burung dara, toilet cukup bersih. Tapi lebih baik lagi diberi penerangan yg lebih terang bila malam agar tidak disalahgunakan karena sebagian besar terlihat gelap",2025-08-18 08:03:10.585486,2025
ChZDSUhNMG9nS0VJVFNqT3VTbmVQUFVBEAE,5,7 months ago,"cukup bersih,ada area bermain untuk anak-anak dan berolahraga.sekalian mau kulineran dan nonkrong juga bisa karena banyak yang berjualana di sekitar alun-alun.oiya kalo minggu pagi selalu ada car free day nya juga.jadi makin banyak pilihan kuliner sambil olahraga pagi disini.",2025-06-18 08:03:10.585486,2025
ChZDSUhNMG9nS0VJQ0FnSUNwNzhLUmJnEAE,1,Edited a year ago,Contoh sdm yang terbelakang. Sampah kian hari kian menumpuk tidak karuan. Saya tidak akan menyalahkan petugas kebersihan karena mereka bekerja dengan baik tiap saya kesana. Tapi saya justru mengkritik masyarakat yang tingkat kesadaran dalam …,2026-01-18 08:03:10.585486,2026
Ci9DQUlRQUNvZENodHljRjlvT2xobFFpMDNjVkZ4WW5WMlprUjVTMTlJY25jeGVtYxAB,4,4 months ago,kue jadul yg enak....kkn dulu tahun 96 ini d best sih..hehhehe..ice cream jadul rasa oetentik ...es lilin rasa degan d best,2025-09-18 08:03:10.587582,2025
Ci9DQUlRQUNvZENodHljRjlvT21Ka2IwZG9iVjgwUnpScU9YcHZla056YzNKc1ZHYxAB,5,Edited a month ago,"Masih tahap renovasi, tapi bagus.. saat car free day dagangan yg djual enak2. Pastri di pojok utara enak, basgor enak, jajanan anak2 enak, ayam geprek enak.. suasana dalem alun alun juga adem.. bangunan sekitar sangat cocok untuk foto foto seru seruan",2026-01-18 08:03:10.587582,2026
ChZDSUhNMG9nS0VJQ0FnSURfaV9pS2ZREAE,5,11 months ago,"Tempatnya sungguh luar bisa nyaman untuk bersantai dan acara"" Lain spt loba"", upacara dan senam sehat.",2025-02-18 08:03:10.587582,2025
Ci9DQUlRQUNvZENodHljRjlvT2sxUFdWQlVTVVJoWVRKVlJWZEVjRTUyWVRKbFMwRRAB,5,5 months ago,Alun2 nya rindangg. Bagusss. Ademm. Kalau malam banyak stand makanan yg enak2 dan murah. Cocok bgt buat yg pengen jalan2 di lumajang kota,2025-08-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSUNIXzZQcDd3RRAB,4,a year ago,"Kalau hari minggu jadi CFD. Di alun-alun ini ada wifinya pada beberapa titik. Kadang bisa dipake kadang nggak. Wifi yg lancar di joglo. Kurang bersih, hijau dan dirawat. Hanya rapi saja.",2025-01-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSURpbVplM1lREAE,5,Edited 3 months ago,kalau pas lagi jalan² siang ke Alun² jangan lupa mampir di Rujak Cingur bapak ini rasanya endullss 👌🏻 …,2026-01-18 08:03:10.587582,2026
ChdDSUhNMG9nS0VJQ0FnSURaMnB5RHdBRRAB,5,2 years ago,"Baru pertama kali singgah di alun alun Lumajang, dan saya langsung jatuh hati sama tempat ini.
Suasananya teduh, sejuk dengan banyak pepohonan dimana mana. …",2024-01-18 08:03:10.587582,2024
ChdDSUhNMG9nS0VJQ0FnSUNueEoyVHVRRRAB,5,a year ago,"Alun-Alun Lumajang ini bukan sekadar alun-alun biasa, tapi lebih mirip taman kota yang sangat nyaman. Lokasinya strategis, dekat dengan masjid, jadi mudah untuk ibadah. Saat sore hari, tempat ini sangat cocok untuk santai dan berkumpul …",2025-01-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSURaeDRfYnhRRRAB,5,Edited 2 years ago,"Taman bermain cukup banyak untuk anak-anak tapi tetap diawasi. Sangat luas cocok untuk olahraga fisik dan lari atau jogging. Cukup ramai pengunjung tapi tetap nyaman, area parkir cukup aman karena diawasi dan gratis. Area tengah kurang …",2026-01-18 08:03:10.587582,2026
Ci9DQUlRQUNvZENodHljRjlvT21kZlZrMXVjRXQzYzFSTlVHbHBiekpMUW1kbk4xRRAB,1,6 months ago,Ini aga beda bukan diusir satpol pp tapi diusir pedagang yg jualan di trotoar yang emng ditujukan untuk masyrakat umum buat duduk tetapi diusir dengan alasan mau masang tikar untuk jualan karna satpol pp nya sudah pergi,2025-07-18 08:03:10.587582,2025
Ci9DQUlRQUNvZENodHljRjlvT2xSNWFUQnFWMVJEUkZkblYwZENjbVk0YTBOQ1NVRRAB,5,4 months ago,"Tempat joging paling nyaman, krn banyak tanaman. Suasana asri dan teduh. Toilet umumnya juga bersih.
Ada arena bermain anak, space utk skateboard dan olahraga, gazebo2 di bawah pohon rindang.
Good 👍 …",2025-09-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSURlamVLT3lnRRAB,4,3 years ago,"Tempat nya bagus, cukup bersih,  bisa bersantai di lapangan, ada juga tempat duduknya, dekat dengan masjid. Parkiran untuk mobil juga tersedia. Tempatnya juga nyaman, bisa jogging juga enak untuk olahraga, saat ini ada spot yg sedang di renovasi. Enak buat jalan jalan bawa istri dan anak ataupun pacar. Overal oke la.",2023-01-18 08:03:10.587582,2023
Ci9DQUlRQUNvZENodHljRjlvT21odlYwbHdlSFUzY2taa2RFTk5jMDVpUW5CQ2NYYxAB,5,3 months ago,"Tempat jogging sore hari, rame banyak teman jogging nya. Deket rumah banget hhh

Oktober ini lagi tahap renovasi untuk pedestrian, semoga lebih nyaman untuk sekedar jalan pagi sore, jogging n running",2025-10-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUNRa3NYWGVnEAE,4,Edited a year ago,Tempat jogging yang enak. Kalau malam tempat hiburan dan bermain anak-anak. Ada fasilitas untuk taman bermain juga. Ada lapangan skateboard. Mini gym juga ada. Ada taman Therapy kesehatan. Ada Playground anak-anak juga. Namun sayangnya …,2026-01-18 08:03:10.587582,2026
ChZDSUhNMG9nS0VJQ0FnSURKcl9DbVd3EAE,4,2 years ago,"A city square. A place to gather. Central to activities for this small town.
The facilities have been upgraded over time to cater different age needs (there are playgrounds for small ones, therapy park for eldery, stage for performance and jogging paths for everyone)",2024-01-18 08:03:10.587582,2024
ChZDSUhNMG9nS0VJQ0FnSURqcDhlVk1REAE,5,a year ago,"Alun alun Lumajang.
Merupakan tempat ikonik di Kabupaten Lumajang, Jawa Timur.
Terletak di jantung kota Lumajang. …",2025-01-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUNoOS1fSlNBEAE,5,2 years ago,"Tempat seru yang adem dimata. Banyak penjual jajanan di dekat Masjid, harga terjangkau rasa enak. Merupakan tempat tujuan pesepeda, dan bahkan semua kalangan bisa. Pagi - siang - sore - Malam, selalu jadi waktu yang tepat untuk mampir dan …",2024-01-18 08:03:10.587582,2024
ChdDSUhNMG9nS0VJQ0FnSUNIOTlXSGdBRRAB,4,a year ago,"Setelah bertahun-tahun, baru kesini, tempat bersantai bersama keluarga. Semoga semakin bermanfaat bagi masyarakat Lumajang.",2025-01-18 08:03:10.587582,2025
Ci9DQUlRQUNvZENodHljRjlvT25GelEzVkxiVlE0Y1d0ZlNWUnhNM0pUZVROVU1FRRAB,5,a week ago,"Makin keren alun2 lumajang, asik buat jogging",2026-01-11 08:03:10.587582,2026
ChZDSUhNMG9nS0VJQ0FnSURCeDVPWlBREAE,4,Edited a year ago,"Seperti di kebanyakan Kota/kabupaten.. alun-alun menjadi pilihan tempat rekreasi murah meriah. Semakin banyak penjual, semakin banyak pengunjung, apalagi jika hari Minggu..Yang penting jaga kebersihan dan ketertiban.. supaya Alun-alun tetap sedap dipandang..",2026-01-18 08:03:10.587582,2026
ChdDSUhNMG9nS0VJQ0FnSUNCa2JPUXl3RRAB,3,3 years ago,"Setelah 7 tahun akhirnya ke tempat ini lagi, banyak bnget perubahan, terutama ditatanan dalamnya,. Sekarang ada tempat olah raga, tempat bunga, dan tempat bersantai,. Serta ada playground buat anak2,sayangnya fasilitas masih terkesan tidak dirawat sehingga terlihat kotor.",2023-01-18 08:03:10.587582,2023
ChdDSUhNMG9nS0VJQ0FnSUM5bG9Ebzh3RRAB,5,a year ago,Tempat yang cocok untuk bermain dan kulineran bersama keluarga apalagi anak2. Banyak pedagang makanan dan juga persewaan permainan anak2 di sore hari terutama saat weekend. Ada arena untuk jogging dan berolahraga yang biasanya ramai saat hari libur dan cfd.,2025-01-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSURxdTRpQXlRRRAB,5,4 years ago,"Tempat yang nyaman buat nyantai, hawanya sejuk dan over all bersih terawat. Cuman di bagian tempat skateboard nya perlu diperbaiki karna sudah banyak lubangnya. Bagi yang suka foto2 spot nya lumayan banyak, fasilitasnya mulai dari taman bermain, tempat terapi, koleksi burung, alat2 olahraga, musholla, Toilet dll.",2022-01-18 08:03:10.587582,2022
ChZDSUhNMG9nS0VJQ0FnTUNvN2N5blVREAE,5,8 months ago,"Alun alun yang sangat luas dan sejuk. Terdapat beberapa fasilitas olah raga, tempat bermain anak, tempat terapi dan gazebo. Sangat nyaman untuk sekedar nongkrong di taman.",2025-05-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUR0OTZxTVBnEAE,5,a year ago,"Waktu aku berkunjung ke sini, itu hari minggu tanggal 21. Kutemukan alun-alun ini dengan penuh kehidupan, kesibukan & beragam aktifitas. Kudapati lingkungan ini terjaga kebersihannya. Di sini juga ada mesjid yang cantik dan cukup luas, tentunya terasa sejuk.",2025-01-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUNEOGJ6UlVBEAE,5,a year ago,Selain ikon Kota Lumajang juga menjadi sarana hiburan dan rekreasi buat warga setempat. …,2025-01-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSUNtcmVtZ193RRAB,3,4 years ago,Sudah lama tidak kesini. Banyak sekali perubahan. Tp kesannya kurang terawat. Ada sarana olahraga yg lantainya sudah rusak. Kedepan harusnya bisa untuk diperhatikan dan ditingkatkan lagi perawatan serta inovasi hiburan untuk masyarakat lumajang.,2022-01-18 08:03:10.587582,2022
ChdDSUhNMG9nS0VJQ0FnSURScTY2ZzJRRRAB,5,2 years ago,"Fasum asyiik, ada area Gym, play ground, dekat dengan masjid Agung Lumajang, joging track, taman kota, yg cukup rindang dan saat itu ada event gowes, jd banyak para pelapak disekitar alun-alun.",2024-01-18 08:03:10.587582,2024
Ci9DQUlRQUNvZENodHljRjlvT25WZlFWTkVaV2xhWW1aWmVIaE9jM0ZKWjBWNVNFRRAB,5,3 months ago,anak saya seneng banget kalau di ajak ke tempat ini apa lagi sore hari walau cuma liat air mancur dan sekedar naik mobil minie tempat nya bersih dan sangat ramah lingkungan,2025-10-18 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSURMOTlMcHV3RRAB,4,a year ago,"Alun-alunnya bersih, tertata rapi, ada tmpt bermain anak. Penjual di sekitarnya jg rapi.
Deket dgn perkantoran jg",2025-01-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUNoMVllblV3EAE,5,2 years ago,"Alun alun Lumajang yang hijau bersih sejuk dan rindang, tanaman tanaman didalamnya subur terawat membuat betah berlama lama mengabiskan waktu disana meskipun pohon beringin yang jadi ikon sudah tak lagi seperti dulu. …",2024-01-18 08:03:10.587582,2024
Ci9DQUlRQUNvZENodHljRjlvT2xGRk9IbFdZbWxWYVdOcmNtZEpWRkpJTTBkb2JsRRAB,5,6 months ago,"Setiap Minggu cfd,ramai sekali,tdk nyaman untuk olahraga, terlalu padat",2025-07-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSURoNkpxMlp3EAE,3,Edited 2 years ago,"Because it is not a big city there are not a lot of thing in here except it is a good place for jog. Quite a lot of tree and the air is so fresh, very good to cleaning our lung",2026-01-18 08:03:10.587582,2026
ChZDSUhNMG9nS0VJQ0FnSUNpc2FMZmN3EAE,5,5 years ago,Bersih banget tempat nya tempat sampah juga banyak deket mushola juga kursi buat santai°° juga banyak indah banget pemandangan nya suasana juga damai ga rame kendaraan rindang banyak pohon,2021-01-18 08:03:10.587582,2021
ChdDSUhNMG9nS0VJQ0FnSURYb3F6NXp3RRAB,5,a year ago,"pertama kali menemukan alun alun yang bener bener fasilitasnya bermanfaat ada ruang baca, ruang bermain, air mancur, gym, dan pendopo yang bisa digunakan untuk belajar menari, kerja kelompok dll",2025-01-18 08:03:10.587582,2025
ChZDSUhNMG9nS0VJQ0FnSUM0Z2UzR0tREAE,5,Edited 6 years ago,Bagus banget dah.  Sebelum dn sesudah di renovasi sangat berbeda banget perbedaannya.  Fasilitas juga banyak di tambhkan di sini.  Seperti play ground untuk anak2.  Air mancur untuk bermain.  Tempat tenis buat beljar sepatu roda dan banyak …,2026-01-18 08:03:10.587582,2026
ChdDSUhNMG9nS0VJQ0FnSUNXdU9EaDNBRRAB,3,3 years ago,"kurang banyak tempat duduk untuk bersantai, pohon tidak terlalu rimbun jadi cukup panas, ada taman bermain dapat dipakai untuk anak anak",2023-01-18 08:03:10.587582,2023
Ci9DQUlRQUNvZENodHljRjlvT21wcVJFcERaVXRNY0RsdVh6ZHZPWEZyYlY5UlVVRRAB,5,3 weeks ago,"Suka banget banyak jajan murah dan enak, adem juga. Mau jam berapapun pasti ada yg jualan",2025-12-28 08:03:10.587582,2025
ChdDSUhNMG9nS0VJQ0FnSUNxaThEMHlRRRAB,5,4 years ago,"Gak ambil foto dari luar alun-alun kemarin karena baterai dah habis hehe 😬

Suka banget ke sini 😭 …",2022-01-18 08:03:10.587582,2022
